date,adj_close,lat_1,lat_2,lat_4,lat_8,lat_16,label
2012/11/23,1409.150024,0.013026315,0.015376719,0.036231152,0.021100986,0.002131494,1
2012/11/26,1406.290039,0.002029582,0.010970295,0.013988149,0.023106087,0.014920199,0
2012/11/27,1398.939941,0.005226588,0.007245561,0.008019744,0.032054793,0.01079056,0
2012/11/28,1409.930054,0.007856029,0.002588381,0.013587072,0.041822837,0.00517192,1
2012/11/30,1416.180054,0.004432844,0.012323698,0.004988844,0.041400748,0.008548058,1
2012/12/3,1409.459961,0.004745225,0.000333416,0.002254103,0.016273782,0.010706067,0
2012/12/4,1407.050049,0.001709812,0.006446924,0.005797324,0.013863561,0.021444519,0
2012/12/5,1409.280029,0.001584862,0.00012766,0.000461034,0.013119774,0.021328444,1
2012/12/6,1413.939941,0.003306591,0.004896693,0.0015818,0.003399153,0.024571865,1
2012/12/7,1418.069946,0.00292092,0.006237168,0.006108712,0.008376584,0.031676221,1
2012/12/10,1418.550049,0.000338561,0.003260469,0.008173128,0.014017834,0.046521966,1
2012/12/11,1427.839966,0.006548882,0.00688966,0.013169801,0.012702695,0.055056795,1
2012/12/12,1428.47998,0.000448239,0.007000057,0.01028335,0.008685284,0.050445609,1
2012/12/13,1419.449951,0.006321425,0.005876019,0.000973157,0.007087814,0.023476942,0
2012/12/14,1413.579956,0.004135401,0.010430685,0.003503643,0.004640849,0.018568749,0
2012/12/17,1430.359985,0.011870591,0.0076861,0.001764917,0.014957961,0.028273981,1
2012/12/18,1446.790039,0.011486657,0.023493601,0.012817862,0.023233022,0.026711148,1
2012/12/19,1435.810059,0.007589201,0.003810281,0.011525667,0.012510041,0.020991417,0
2012/12/20,1443.689941,0.005488109,0.002142742,0.021300518,0.017722245,0.031988507,1
2012/12/21,1430.150024,0.009378688,0.00394205,0.000146789,0.001617869,0.014341116,0
2012/12/24,1426.660034,0.002440296,0.011796097,0.013913563,0.001274044,0.007400175,0
2012/12/26,1419.829956,0.00478746,0.007216074,0.011129678,0.000267713,0.007357424,0
2012/12/27,1418.099976,0.001218442,0.006000069,0.017725388,0.003197569,0.007853258,0
2012/12/28,1402.430054,0.011049942,0.01225492,0.019382561,0.019526505,0.00486062,0
2012/12/31,1426.189941,0.016941941,0.005704792,0.000329506,0.014238485,0.008663734,1
2013/1/2,1462.420044,0.025403421,0.042775745,0.029996612,0.018533082,0.031274972,1
2013/1/3,1459.369995,0.002085618,0.023264821,0.029102334,0.010861095,0.028775824,0
2013/1/4,1466.469971,0.004865097,0.002769332,0.045663537,0.0253959,0.027054856,1
2013/1/7,1461.890015,0.003123116,0.001726786,0.025031781,0.024694027,0.023388522,0
2013/1/8,1457.150024,0.003242372,0.006355362,0.003603629,0.026284886,0.026559635,0
2013/1/9,1461.02002,0.002655867,0.000595117,0.001130642,0.03026588,0.033560227,1
2013/1/10,1472.119995,0.007597415,0.010273459,0.003852806,0.049692276,0.029195455,1
2013/1/11,1472.050049,4.75E-05,0.00754954,0.00694993,0.03215568,0.017459347,0
2013/1/14,1470.680054,0.000930671,0.000978141,0.009285269,0.005648179,0.024285939,0
2013/1/15,1472.339966,0.00112867,0.000196948,0.007747975,0.008887377,0.019844999,1
2013/1/16,1472.630005,0.000196992,0.001325884,0.000346446,0.004200587,0.029703164,1
2013/1/17,1480.939941,0.005642922,0.005841025,0.006039123,0.013031025,0.038046841,1
2013/1/18,1485.97998,0.00340327,0.009065397,0.0104033,0.019785167,0.046590103,1
2013/1/22,1492.560059,0.004428107,0.007846448,0.013733304,0.021587684,0.052506935,1
2013/1/23,1494.810059,0.001507477,0.00594226,0.015061525,0.015413189,0.065871381,1
2013/1/24,1494.819946,6.61E-06,0.001514101,0.009372429,0.015468154,0.048121224,1
2013/1/25,1502.959961,0.005445482,0.005452132,0.01142679,0.021948966,0.027721117,1
2013/1/28,1500.180054,0.001849621,0.003585788,0.005105319,0.018908736,0.027964162,0
2013/1/29,1507.839966,0.005105995,0.003246929,0.008716764,0.023909577,0.028210598,1
2013/1/30,1501.959961,0.003899621,0.001186462,0.004776505,0.014193702,0.027409686,0
2013/1/31,1498.109985,0.002563301,0.006452927,0.00322695,0.008162967,0.028109639,0
2013/2/1,1513.170044,0.010052706,0.007463636,0.008658954,0.01380848,0.035694257,1
2013/2/4,1495.709961,0.011538745,0.001602035,0.008044624,0.000602018,0.016024486,0
2013/2/5,1511.290039,0.01041651,0.001242428,0.006211935,0.011018112,0.026656696,1
2013/2/6,1512.119995,0.000549171,0.010971401,0.00935179,0.006094663,0.028177401,1
2013/2/7,1509.390015,0.001805399,0.00125722,0.002498086,0.006139237,0.025164058,0
2013/2/8,1517.930054,0.005657941,0.003842327,0.014855884,0.00669175,0.030761324,1
2013/2/11,1517.01001,0.000606118,0.005048394,0.003784827,0.010020273,0.0243562,0
2013/2/12,1519.430054,0.001595272,0.000988188,0.004834311,0.014231311,0.022510447,1
2013/2/13,1520.329956,0.000592263,0.00218848,0.007247922,0.00473173,0.018605547,1
2013/2/14,1521.380005,0.000690672,0.001283344,0.0022728,0.017162448,0.017774797,1
2013/2/15,1519.790039,0.001045081,0.000355131,0.001832571,0.005624334,0.016704415,0
2013/2/19,1530.939941,0.007336475,0.006283727,0.007575134,0.012446066,0.018616584,1
2013/2/20,1511.949951,0.012404138,0.005158665,0.005511965,0.001696007,0.007845656,0
2013/2/21,1502.420044,0.006303057,0.018629011,0.012462344,0.010217869,0.003594494,0
2013/2/22,1515.599976,0.008772468,0.002414118,0.002757001,0.000929482,0.009081477,1
2013/2/25,1487.849976,0.018309581,0.009697733,0.028146085,0.02078416,0.006848635,0
2013/2/26,1496.939941,0.006109463,0.012311979,0.009927584,0.015384828,0.010725895,1
2013/2/27,1515.98999,0.012725994,0.018913207,0.009032059,0.003542846,0.013558798,1
2013/2/28,1514.680054,0.00086408,0.011850918,0.000606969,0.003362297,0.002243127,0
2013/3/1,1518.199951,0.002323855,0.001457768,0.020398545,0.008321679,0.004020816,1
2013/3/4,1525.199951,0.004610723,0.006945293,0.01887852,0.008763518,0.010474388,1
2013/3/5,1539.790039,0.009566017,0.014220846,0.015699344,0.024873201,0.014401181,1
2013/3/6,1541.459961,0.001084513,0.010660904,0.01768024,0.01706254,0.016117198,1
2013/3/7,1544.26001,0.001816492,0.002902974,0.017165103,0.037913792,0.016341625,1
2013/3/8,1551.180054,0.004481139,0.006305771,0.0170339,0.036233994,0.020291712,1
2013/3/11,1556.219971,0.003249086,0.007744785,0.010670242,0.026537102,0.022900239,1
2013/3/12,1552.47998,0.002403253,0.000838024,0.007149079,0.024955716,0.021509511,0
